50,51,33805,5484,177,8130,3108,5194,7005,3856
64,37,530550,27217,4971,3672,9008,19913,24839,13917
47,47,36255,34537,13726,8677,3006,2590,6274,3317
41,47,920153,54721,10358,16985,13426,9237,16510,8768
27,29,437206,115597,26503,15367,20225,20973,39801,51347
37,35,13066,15955,7300,10007,12504,53786,25652,26014
64,43,85807,10282,8567,23062,6829,22820,20270,24032
66,51,134952,50599,36972,11711,19393,14083,17740,21494
57,66,834847,137159,75900,26125,16797,19066,64786,5334
48,66,67905,23667,10768,1590,12293,22364,13005,19762
27,54,106024,78154,20738,29062,16418,14733,26315,19564
29,27,778320,106261,9109,8656,9855,19000,19611,9461
40,4,128702,86097,3514,17233,11806,19759,41205,9056
34,20,928153,55524,13693,23837,17640,31984,9288,7595
63,17,21807,6032,12401,7528,14172,32456,26101,14660
57,37,117004,14252,1086,5081,3250,2043,6487,2371
66,64,357196,29281,20606,38683,25715,28791,25433,10628
63,67,4871,19836,12789,5364,8500,10911,20307,20443
43,80,51809,14935,14009,14688,17915,10254,19373,24748
74,70,4163,11368,3897,9261,18007,30426,16643,13840
74,69,80960,18306,19503,9368,11957,16131,13649,7475
63,66,485796,319130,60384,91579,36064,53862,45654,15489
53,30,483015,276396,22047,21273,24864,34234,25627,20121
40,27,553128,70749,6779,14417,16408,33832,39984,19187
27,37,78291,16305,37781,8985,6044,8965,14342,9065
20,30,395259,124001,27752,23662,5682,10275,9753,14971
29,38,1287460,85320,10941,11235,9003,28316,20988,8749
35,48,445250,7005,5098,7027,13351,12168,26055,11135
48,29,9823,11223,3888,15228,15907,12132,32412,15245
60,26,234435,47907,12484,6637,8469,11268,13576,8396
64,20,139464,15187,2201,952,3417,7200,3770,2397
74,20,4059,6182,7882,5761,10132,23605,10902,7318
80,17,3928,15581,5723,9669,4293,18434,9318,6209
93,37,56819,1525,2309,4507,2097,4340,3867,1840
66,37,711919,139813,5114,7648,14456,7439,7302,7113
38,24,153767,192624,17740,12930,17125,22889,35176,14981
14,38,664026,77736,56003,26855,16585,13957,19277,22127
1,27,479744,141045,33536,37010,51966,19711,7158,14859
7,51,1954640,387119,93425,106771,50250,68305,161924,46607
1,53,428200,185815,9861,21630,12583,16114,9003,16170
7,34,767997,138191,23047,7974,2314,23468,13474,12932
23,35,545574,6115,3780,2219,4017,4255,4968,3822
30,26,41478,56737,2772,16911,6691,19285,10800,15265
53,51,54302,14043,13312,21179,12434,18856,25656,15016
54,60,157514,45488,17167,5471,4289,12212,10824,8302
54,54,50221,20836,1952,9602,9576,11284,5001,3294
61,66,45321,14002,13336,6272,9237,15525,8333,7041
53,57,14543,37194,13491,11393,7843,13383,11742,5252
64,61,117001,19701,9594,18064,21198,20050,6279,8127
51,66,390033,106305,16821,39073,13741,17517,15590,16167
43,67,44311,31870,7003,25686,12503,14676,12701,3626
54,67,7413,20886,10819,15916,13609,28551,17891,10183
30,69,31602,42096,11837,21467,19423,5042,7095,9288
30,63,231802,80889,11744,16032,9661,13279,12337,7295
21,44,23961,103490,10760,10433,18774,11945,8175,12284
1,44,86062,53838,17295,14342,5540,8603,4604,2976
4,54,158921,52854,47403,17411,7136,11917,7365,5668
10,67,36269,21377,13925,14593,12103,9139,9297,8670
23,77,21999,28318,4343,8084,10121,9444,4066,11671
43,67,13238,6169,2775,3486,12048,7310,7699,4185
56,69,23420,12475,18309,12952,4856,11828,7490,13203
67,53,142254,8546,2960,963,4189,5788,12376,6749
80,64,8493,8565,4105,13653,4330,17364,6444,5945
67,66,54163,42466,6136,9160,2493,12374,10960,7204
69,53,87938,30671,22276,6285,8170,20006,9937,5504
60,56,18228,44005,13974,1661,3608,12283,9318,5757
54,34,62969,13863,759,2801,5242,8551,22091,9822
63,35,14536,24410,4579,12104,17442,16945,9168,11068
63,27,31835,21709,9092,2744,5677,11059,7270,7732
67,35,16063,16888,2104,12782,5825,10092,12132,8125
50,27,184681,122107,2294,1542,8904,13921,14414,8359
24,34,2109498,230655,43369,25520,9139,15576,18693,5996
1,37,569339,167742,9596,27569,6638,6599,21845,8274
1,29,67008,43031,3497,11108,36578,13554,8835,13625
13,61,110955,11175,11204,5026,12402,7668,7462,3629
17,74,190950,65262,61154,15946,13150,8797,10494,6828
50,83,77070,12807,17176,8738,14146,24565,12338,18854
61,100,84040,2956,8771,4760,1446,11842,5027,2263
61,91,481463,40079,7532,7808,16960,13675,17531,7708
69,91,1943359,60743,76054,14485,15474,21449,12003,5367
37,83,1936176,572330,90224,42569,44605,13583,18348,5155
27,69,113501,66712,16210,2820,3182,21272,11600,10947
27,67,88665,121055,21051,7068,9123,29128,15727,7253
34,53,185630,42098,9613,7111,19730,10436,16111,9813
63,63,70654,7020,3165,9245,5599,9788,2205,3276
63,74,55890,42080,23945,18153,4622,20964,16126,14404
74,87,77793,15963,2518,25364,13047,21264,24890,13742
69,87,242176,59428,2602,19507,18641,9827,11645,12545
51,83,1639041,123754,21730,57593,24453,15551,29535,28250
50,63,598724,109541,6196,6367,10881,23733,8512,5463
37,64,620674,290074,151517,62238,19277,67090,66495,16942
27,69,1329503,156464,54753,9900,7974,10349,8579,2637
26,60,848963,45056,5695,4391,3655,4063,4048,2821
43,61,149202,25251,2529,5733,19506,35738,31072,13126
50,60,36357,45843,7556,30149,17721,25356,21905,9448
69,51,814154,70370,9174,9452,7698,29504,5253,27759
80,43,238268,70399,4703,6239,21981,16918,16027,5831
67,67,266505,3144,1356,9414,1777,3932,3125,6708
69,63,150646,25741,9888,6555,17812,14380,6389,9120
74,66,62249,6181,600,2823,2536,4860,3605,2095
74,84,275441,75870,49525,19833,24229,29396,12431,7817
70,63,162700,62471,3715,10488,15795,22386,50051,23517
61,57,471364,70122,3518,12224,3939,9561,13531,6292
69,53,8558,21254,9321,2906,12679,44764,24614,11079
63,47,109807,160291,12061,42282,12066,23581,27503,13331
77,53,22668,17521,8833,7790,5575,38882,29141,14485
78,53,50023,17113,3255,1696,4994,2891,2609,2433
57,63,15867,34160,8821,10951,10467,7728,4515,8120
63,60,8969,27891,4634,7048,18748,7603,23052,17440
51,70,4384,7410,9077,11010,9330,8946,4491,9255
56,81,32270,18442,12033,7224,13702,7861,7435,7774
66,70,57047,24407,9668,4428,46605,17366,27480,13174
69,77,1000539,21229,9085,4875,7026,9113,7430,1595
74,74,30880,14560,8625,20337,23696,20214,13217,18321
81,80,62557,3429,14075,13627,10480,16678,14010,12039
93,75,33129,13308,3400,5279,11846,49870,22660,8233
87,78,57757,7809,5171,3687,7130,2641,1322,3089
77,74,199827,8996,2448,1396,2382,2288,727,1094
80,56,81953,19046,5164,5676,8392,32611,17171,7405
66,64,21436,11016,6254,1176,8492,10456,10043,9333
78,61,6876,11036,3508,4625,2525,9629,9433,8008
78,61,72019,89578,29735,10739,5151,25613,10187,3172
64,80,22749,17059,15814,24619,6550,13932,6514,8973
57,87,39626,19918,14669,1260,10385,8809,4033,7540
53,81,133139,32812,1138,10416,6729,12624,12152,13718
56,80,607802,38184,4927,13747,12307,14557,6228,4761
57,70,118122,19267,8815,10751,14054,10433,4908,4231
75,61,17334,5184,2685,2632,10742,16934,11706,3955
75,64,149324,20671,7840,5997,8411,11882,6096,10327
81,53,24152,18655,1996,3184,18915,14045,13758,6071
84,60,20188,7998,8701,6062,3233,8795,6514,3916
66,70,7559,6746,3413,9445,13044,4875,13371,4952
63,74,33948,23665,8531,5067,6584,10629,9380,4814
50,77,157647,126549,11796,12462,10086,16444,9179,5234
51,54,31631,9796,969,1311,4922,6411,4946,6807
63,53,4691,3155,3956,8381,15139,13715,4046,2580
66,53,17777,5949,2112,2212,2571,4462,5156,5451
77,69,25894,12717,7947,16838,9840,13932,10525,14475
77,75,27399,30113,9338,2215,10713,23539,5781,8009
69,77,4183,10756,9022,3795,6159,8882,8810,5028
64,83,40049,20822,16766,6972,6494,10476,3715,3858
56,87,32630,12986,7084,18518,6143,4720,6368,3328
44,100,18615,12694,13625,7805,10312,5874,13252,6238
50,91,11105,29488,9237,3738,14203,25980,8728,4161
51,93,14650,4623,5534,8183,7429,5691,5381,4164
57,90,24846,18132,19407,5818,2813,11062,8480,4919
53,84,443381,45850,10632,20391,15768,7894,4660,5614
40,97,61839,55034,33683,14126,3965,13867,14311,12497
30,84,488879,266235,10240,54609,32121,36925,33276,22877
20,63,155690,82252,4155,5192,4517,5633,9458,3844
29,63,96940,29647,19945,9450,20741,21603,27139,18191
41,53,3512,16991,3956,7105,8218,13598,28346,22157
37,66,132123,47526,39982,11204,14045,6932,26240,14333
53,67,1240658,88402,8867,8457,41444,33129,18628,8466
57,66,2050,9325,2320,7651,5009,12765,18949,4164
53,75,598766,11077,12268,10051,10924,10469,16754,8196
67,69,57643,8765,3459,3192,1334,6253,1601,2947
60,80,486449,86583,23146,14712,13682,16166,9598,7883
63,78,29530,10616,4746,6108,4586,19658,20232,8603
70,54,1311798,82435,6823,4621,7318,12968,9504,10069
88,44,48823,46668,22486,2409,29286,44531,19223,18509
100,40,699551,130868,20134,35355,35349,39222,18056,15210
100,29,16667,3907,11976,6803,11123,97457,38255,17893
94,38,126542,183570,14274,37657,4899,34260,16856,22274
67,35,42652,34197,2162,5264,7136,6117,4317,4162
56,30,621853,109956,14172,16949,19989,30007,25907,19282
41,35,641446,31734,12874,3353,12746,25889,15013,11154
43,35,150485,61345,10520,11105,18982,14958,10703,6755
54,41,25469,36933,2262,18707,4336,35121,11738,12887
64,54,633,7115,11867,6023,4224,17965,25973,15031
67,43,20629,41207,6317,2827,22888,37930,22149,7811
81,35,117973,25192,2462,6067,13514,38085,11120,14997
96,26,6311,3708,4170,2996,6762,35155,14597,12135
97,17,14224,10088,9967,3338,9563,21552,25712,25163
96,35,69042,14741,4735,8939,10145,19602,21268,21441
90,37,56879,9377,1417,854,1254,4964,6282,4105
66,38,627870,61607,1632,12916,9737,13760,10799,15846
60,43,26531,14106,10296,7274,11191,13685,17043,5188
48,38,278965,51288,11266,3673,13793,12051,21771,13638
48,54,151197,23495,14120,17398,13308,23810,15296,5902
60,56,621389,31222,8163,11109,25742,40065,20239,16397
60,35,109225,11511,592,866,1484,5540,6382,2355
74,20,90107,30477,1563,2812,8907,28665,7563,8257
61,17,853640,70653,20459,18124,5098,13045,11309,10884
54,14,297535,26094,3476,7759,26704,13302,4375,6904
43,26,44949,10355,971,1678,1182,1395,536,720
44,37,33801,25768,3751,6685,13051,29480,13053,10444
48,34,36801,57011,12493,15672,13778,14898,13452,27388
53,40,30725,26528,2458,15814,12580,26609,20314,8166
61,44,250516,40258,20204,7649,13116,21629,13808,16517
56,67,86475,11530,29661,10325,9322,23217,17979,17866
56,66,617933,56305,7584,15842,9660,13012,10934,8663
51,66,38766,4819,1640,1176,4248,2866,4010,3469
50,66,135028,24034,12387,7242,21106,10052,22509,7984
47,54,77352,40469,11338,15253,7555,22520,12129,26390
50,56,79954,30295,11334,13003,19142,14341,12620,11180
51,61,46272,3475,1025,2977,3281,3541,5156,1154
48,77,30644,13939,16496,5129,1046,4523,2518,2163
41,80,83253,51697,2276,28684,10755,10712,6702,10187
41,70,57893,25193,2508,7025,18050,9920,36771,7936
38,75,24691,29960,10328,14268,6340,17168,14976,9337
51,60,21534,21587,9718,10295,5322,29015,16750,8842
64,43,50701,45208,4410,6816,16913,38195,15093,20077
75,56,50731,3196,731,7217,1472,8314,5315,2561
80,44,13796,38143,9594,7690,22329,38888,8439,12406
75,43,9656,28882,4430,10605,9579,15445,33941,11222
81,50,27510,8467,5399,2304,6575,26551,10951,8637
81,51,12772,1216,6586,15356,5278,20457,18523,14582
77,57,42096,24629,2029,12216,6159,14456,30252,23395
66,51,308309,57171,2350,9711,7955,7728,4849,2417
53,43,30215,72767,2482,7470,15554,22656,15003,17719
47,23,167731,47161,8959,3660,9841,22694,28593,9364
41,30,55269,26261,13057,9958,7337,9854,7000,10998
37,29,317709,187289,24950,10700,39526,13574,21751,10688
29,63,18666,16827,21297,28067,15339,7949,16005,14183
